municipality,incidents,population,imputed_incidents,incidents_per_100k,left_endpoint,right_endpoint,left_per_100k,right_per_100k,score
Barrington,<5,16089,2.5,15.5385667226,4.51213974825e-05,0.000369086472585,4.51213974825,36.9086472585,0.350098619329
Bristol,<5,22131,2.5,11.2963716054,3.37063313649e-05,0.000275724191367,3.37063313649,27.5724191367,0.146614069691
Burrillville,<5,16740,2.5,14.9342891278,4.35329060647e-05,0.000356094874612,4.35329060647,35.6094874612,0.289612097304
Central Falls,5,19398,5.0,25.7758531807,0.000108276095901,0.000475521108976,10.8276095901,47.5521108976,0.756081525312
Charlestown,<5,7820,2.5,31.9693094629,8.41014969898e-05,0.000687841749131,8.41014969898,68.7841749131,0.684089414859
Coventry,13,34698,13.0,37.4661363767,0.000222238824162,0.000554553798131,22.2238824162,55.4553798131,0.91781722551
Cranston,23,81274,23.0,28.2993331201,0.00019474979675,0.000387033396015,19.474979675,38.7033396015,0.773504273504
Cumberland,5,34977,5.0,14.295108214,6.23518395244e-05,0.000273854772628,6.23518395244,27.3854772628,0.215976331361
East Greenwich,<5,13103,2.5,19.0796000916,5.41913747025e-05,0.000443263132829,5.41913747025,44.3263132829,0.53057199211
East Providence,12,47476,12.0,25.2759288904,0.000148875896794,0.000385736323321,14.8875896794,38.5736323321,0.697238658777
Exeter,<5,6561,2.5,38.103947569,9.68389708816e-05,0.000791981634875,9.68389708816,79.1981634875,0.72090729783
Foster,0,4710,0.0,0.0,2.92256664215e-08,0.000421598006386,0.00292256664215,42.1598006386,0.406311637081
Glocester,<5,10210,2.5,24.485798237,6.72977586125e-05,0.000550442054426,6.72977586125,55.0442054426,0.647271531887
Hopkinton,0,8119,0.0,0.0,3.33102353198e-08,0.000276010708747,0.00333102353198,27.6010708747,0.144970414201
Jamestown,0,5490,0.0,0.0,2.60770992996e-08,0.000376186555114,0.00260770992996,37.6186555114,0.341222879684
Johnston,6,29322,6.0,20.4624514017,9.50622042885e-05,0.000366481566363,9.50622042885,36.6481566363,0.483234714004
Lincoln,5,21771,5.0,22.9663313582,9.7354026272e-05,0.000427562074663,9.7354026272,42.7562074663,0.655489809336
Little Compton,0,3484,0.0,0.0,3.60712550236e-08,0.000520324090333,0.00360712550236,52.0324090333,0.475345167653
Middletown,<5,15934,2.5,15.6897200954,4.55168461211e-05,0.000372320656337,4.55168461211,37.2320656337,0.390532544379
Narragansett,<5,15464,2.5,16.1665804449,4.67594805453e-05,0.000382483504386,4.67594805453,38.2483504386,0.452662721893
New Shoreham,<5,1034,2.5,241.779497099,0.000288968114588,0.00236164889749,28.8968114588,236.164889749,0.95003287311
Newport,<5,24590,2.5,10.1667344449,3.05598516349e-05,0.000249988213834,3.05598516349,24.9988213834,0.0660749506903
North Kingstown,5,26320,5.0,18.9969604863,8.15790353934e-05,0.00035829062539,8.15790353934,35.829062539,0.434253780408
North Providence,7,32559,7.0,21.4994318007,0.000106107161691,0.000369920461308,10.6107161691,36.9920461308,0.58711374096
North Smithfield,<5,12485,2.5,20.0240288346,5.65437518295e-05,0.000462500702928,5.65437518295,46.2500702928,0.550953320184
Pawtucket,23,71847,23.0,32.0124709452,0.000219688513942,0.000436589644663,21.9688513942,43.6589644663,0.828731097962
Portsmouth,<5,17313,2.5,14.4400161728,4.22245060449e-05,0.000345393914156,4.22245060449,34.5393914156,0.243918474688
Providence,79,179335,79.0,44.0516352079,0.000361473207103,0.000523413935433,36.1473207103,52.3413935433,0.973372781065
Richmond,0,7702,0.0,0.0,3.47797850659e-08,0.000288185736006,0.00347797850659,28.8185736006,0.189349112426
Scituate,<5,10658,2.5,23.4565584537,6.48682713729e-05,0.000530575412194,6.48682713729,53.0575412194,0.610453648915
Smithfield,<5,21719,2.5,11.5106588701,3.429800365e-05,0.000280563586992,3.429800365,28.0563586992,0.196252465483
South Kingstown,<5,30650,2.5,8.15660685155,2.48443410845e-05,0.000203237894663,2.48443410845,20.3237894663,0.0371466140697
Tiverton,<5,15731,2.5,15.8921874007,4.60453616729e-05,0.000376643115874,4.60453616729,37.6643115874,0.42899408284
Warren,<5,10429,2.5,23.9716176048,6.60878022487e-05,0.00054054792346,6.60878022487,54.054792346,0.628862590401
Warwick,20,80847,20.0,24.7380855196,0.000165789421377,0.000346359224588,16.5789421377,34.6359224588,0.560157790927
West Greenwich,<5,6339,2.5,39.4383972235,9.94961014122e-05,0.000813704778477,9.94961014122,81.3704778477,0.757396449704
West Warwick,14,28874,14.0,48.486527672,0.000289959397702,0.000699716859025,28.9959397702,69.9716859025,0.971729125575
Westerly,<5,22509,2.5,11.1066684437,3.3181162982e-05,0.000271428726074,3.3181162982,27.1428726074,0.095003287311
Woonsocket,13,41603,13.0,31.2477465567,0.000186850701516,0.000466261955022,18.6850701516,46.6261955022,0.810650887574
